age,job,employment_duration,number_credits,other_debtors,personal_status_sex,foreign_worker,amount,status,duration,credit_history,people_liable,installment_rate,savings,telephone,property,purpose,other_installment_plans,housing,present_residence,credit_risk
24,3,3,1,1,2,2,1237,2,8,2,2,3,1,1,1,2,3,2,4,0
26,3,2,1,1,2,2,3114,1,18,0,2,1,1,1,2,2,3,1,4,0
42,3,5,1,1,3,2,3331,4,12,4,2,2,1,1,2,2,2,2,4,1
26,3,2,1,1,2,2,9960,2,48,2,2,1,1,2,3,2,1,2,2,0
49,3,5,1,1,3,2,2964,1,24,2,1,4,5,2,4,1,1,3,4,1
23,3,2,1,1,2,2,1236,4,9,2,2,1,1,2,1,4,3,1,4,1
27,3,2,1,1,2,2,3123,1,24,2,2,4,1,1,2,0,3,2,1,0
36,3,5,1,1,3,2,884,2,18,4,1,4,1,2,3,0,3,2,4,0
26,3,3,1,1,3,2,4210,3,36,2,2,4,1,1,3,3,3,2,2,0
44,4,3,1,1,1,2,3384,1,6,4,2,1,1,2,1,2,3,1,4,0
47,3,5,1,1,2,2,1377,3,24,2,2,4,2,2,4,3,3,3,2,1
52,3,5,2,1,3,2,936,4,9,4,2,4,3,2,3,6,3,2,2,1
48,2,2,2,1,3,1,2241,1,10,4,1,1,1,1,1,0,3,1,3,1
32,3,2,1,1,2,2,2528,2,27,2,1,4,1,2,2,9,3,2,1,1
41,3,3,1,1,3,2,2116,3,6,2,2,2,1,2,1,2,3,2,2,1
35,3,5,2,1,3,2,976,4,12,4,2,4,5,1,3,3,3,2,4,1
37,2,2,2,1,3,2,3565,4,12,4,1,2,5,1,2,6,3,2,1,1
37,2,3,1,1,3,2,2118,2,9,2,1,2,1,1,1,3,3,2,2,1
35,2,3,1,1,3,2,4380,1,18,2,1,3,2,2,3,0,3,2,4,1
26,3,4,2,1,3,2,4370,1,42,3,1,3,1,2,2,3,1,2,2,0
28,3,3,2,1,2,2,1817,4,18,4,2,4,1,1,4,2,3,2,2,1
42,3,3,2,1,2,2,409,3,12,1,2,3,4,1,1,3,3,1,3,1
46,4,5,2,1,1,2,7629,4,48,4,1,4,5,1,3,9,1,2,2,1
24,3,2,1,1,2,2,433,2,6,1,1,4,4,1,2,6,1,1,2,0
26,3,2,1,1,3,2,1330,3,12,2,2,4,1,1,1,0,3,2,1,1
35,2,3,1,1,2,2,3447,4,12,1,1,4,3,1,1,8,3,2,3,1
38,3,5,1,1,3,2,368,2,6,2,2,4,5,1,2,3,3,2,4,1
32,3,3,1,1,3,2,2978,4,6,2,2,1,3,2,3,2,3,2,2,1
43,3,1,2,1,3,2,1333,1,24,3,1,4,1,1,1,0,3,3,2,0
35,2,3,2,1,3,2,2684,4,24,4,2,4,1,1,1,3,3,2,2,1
30,3,3,1,1,3,2,639,2,12,2,2,4,1,1,3,5,3,2,2,0
30,3,3,2,1,3,2,1224,4,9,4,2,3,1,1,1,0,3,2,1,1
31,3,4,1,1,3,2,929,4,24,2,2,4,5,2,3,2,2,2,2,1
42,3,3,2,1,2,2,1965,2,24,3,2,4,5,2,3,0,3,1,4,1
47,2,3,1,1,4,2,1217,1,18,2,2,4,1,2,1,4,3,2,3,0
49,2,4,1,1,3,2,1445,3,18,1,2,4,5,1,3,3,1,2,4,1
31,3,3,1,1,3,2,3651,1,12,2,1,1,4,1,2,0,3,2,3,1
65,1,1,2,2,3,2,3394,1,42,4,2,4,1,1,3,5,3,2,4,1
50,3,5,2,3,3,2,1537,2,15,4,2,4,5,2,1,3,3,2,4,1
34,4,5,2,1,3,2,6614,4,36,4,2,4,1,2,3,0,3,2,4,1
47,3,5,3,1,3,2,1393,4,12,2,1,4,1,2,2,6,1,2,4,1
22,3,4,1,1,3,2,1478,4,9,2,2,4,1,1,3,3,3,2,2,0
26,3,4,1,1,3,2,2687,3,15,2,2,2,1,2,2,9,3,1,4,1
44,3,2,2,1,2,2,5943,4,24,2,2,1,5,2,3,3,3,2,1,0
52,2,5,1,1,3,2,2315,1,10,2,2,3,1,1,1,3,3,2,4,1
35,3,4,2,1,3,2,2346,4,24,4,2,4,1,2,3,1,3,2,3,1
26,3,3,1,3,3,2,3518,4,6,2,2,2,1,1,2,0,3,1,3,1
26,3,2,1,1,2,2,3749,3,24,2,2,2,1,1,3,2,3,2,4,1
25,3,5,1,1,2,2,2991,2,30,2,2,2,5,1,3,3,3,2,4,1
36,3,3,2,1,3,2,3905,1,11,4,1,2,1,1,1,0,3,1,2,1
24,4,2,1,1,2,2,7408,2,60,2,2,4,2,1,2,0,3,2,2,0
32,3,4,2,1,3,2,2745,2,21,4,2,3,4,2,3,2,3,2,2,1
29,2,3,1,2,3,2,3590,1,12,2,1,2,1,1,2,2,3,2,2,1
45,4,2,1,1,3,2,3527,4,12,2,1,2,5,2,2,0,3,2,3,1
44,2,2,2,1,3,2,4716,1,6,4,1,1,5,1,1,0,3,2,3,1
22,2,2,2,1,2,2,1258,4,12,4,2,2,1,1,2,2,3,1,4,1
30,3,3,1,1,2,2,918,2,9,2,2,4,1,1,2,2,3,2,1,0
33,3,3,1,3,3,1,1414,2,8,2,2,4,1,1,1,3,3,2,2,1
26,4,1,1,1,2,2,5433,4,24,2,2,2,5,2,2,1,3,1,4,1
34,3,5,1,1,3,2,2578,4,24,4,2,2,4,1,3,3,3,2,2,1
41,2,2,1,1,3,2,662,1,6,2,1,3,1,2,1,0,3,2,4,1
44,3,5,2,1,3,2,5507,4,24,4,2,3,1,1,4,5,3,3,4,1
40,3,4,1,1,2,2,894,4,10,2,2,4,5,2,2,8,3,2,3,1
35,4,3,1,1,3,2,6948,2,36,2,2,2,1,2,3,1,3,1,2,1
32,3,3,2,1,3,2,701,4,12,4,2,4,1,1,3,6,3,2,2,1
51,3,5,1,1,3,2,7511,1,18,2,1,1,5,2,2,1,3,3,4,0
20,3,2,1,1,2,2,4675,4,12,2,2,1,5,1,3,1,3,1,4,1
48,4,3,1,1,3,2,12204,2,48,0,2,2,5,2,3,9,1,2,2,1
24,2,3,1,1,2,2,626,1,12,1,2,4,1,1,1,3,1,2,4,0
37,2,5,2,1,3,2,1082,2,9,2,2,4,1,1,3,3,3,2,4,1
26,3,4,2,1,3,2,5117,4,27,3,2,3,1,1,3,9,3,2,4,1
46,3,5,2,1,3,2,1582,4,18,4,2,4,4,1,3,3,3,2,4,1
26,3,3,1,1,2,2,1386,4,12,2,2,2,3,1,2,0,3,2,2,0
40,2,3,1,1,4,2,701,1,12,2,2,4,1,1,1,3,3,2,2,1
20,3,5,1,1,2,2,1967,2,24,2,2,4,1,2,3,3,3,2,4,1
27,3,3,1,1,3,2,4020,1,24,2,2,2,1,1,3,2,2,2,2,1
28,3,3,1,1,4,2,776,4,12,2,2,4,1,1,1,3,3,2,2,1
25,4,3,2,1,2,2,8065,1,36,4,2,3,1,2,4,6,3,2,2,0
37,3,2,1,1,1,2,3878,2,24,4,2,4,2,2,3,0,3,2,2,1
50,4,4,1,1,3,2,7476,1,48,2,2,4,1,2,4,6,3,3,1,1
24,2,3,1,1,2,2,1228,1,12,2,2,4,1,1,1,0,3,2,2,0
38,3,5,2,1,3,2,2751,4,48,4,1,4,5,2,3,1,3,2,3,1
40,4,5,1,1,3,2,1977,1,36,2,2,4,5,2,4,6,3,2,4,0
37,4,4,1,1,3,2,12749,4,48,3,2,4,3,2,3,3,3,2,1,1
24,3,3,2,1,3,2,1800,4,18,4,2,4,1,1,3,3,3,2,2,1
39,4,3,2,2,3,2,11938,2,24,4,1,2,1,2,3,10,3,2,3,0
27,2,3,1,3,3,2,1309,4,10,2,2,4,5,1,2,0,3,2,4,0
23,2,3,1,1,2,2,3573,2,12,4,2,1,1,1,1,3,3,2,1,1
23,3,2,1,1,2,2,2288,4,21,4,2,4,1,2,2,2,3,2,4,1
57,2,5,1,1,3,2,1264,4,12,4,2,4,5,1,4,9,3,1,4,1
33,2,2,1,1,3,2,2384,2,36,2,2,4,1,1,4,5,3,1,1,0
39,2,5,1,1,4,2,426,4,6,0,2,4,1,1,3,3,3,2,4,1
37,3,4,1,1,2,2,3380,4,4,4,1,1,1,1,1,0,3,2,1,1
32,4,4,2,1,4,2,1880,1,18,4,2,4,1,2,2,3,3,2,1,1
23,2,2,1,1,3,2,1246,2,24,2,2,4,1,1,1,0,1,2,2,0
21,3,4,2,1,3,2,15653,4,60,3,2,2,1,2,3,3,3,2,4,1
34,3,4,2,3,4,2,6999,1,48,2,2,1,1,2,1,3,3,2,1,0
27,2,3,1,1,4,2,1168,1,12,2,2,4,1,1,1,0,3,2,3,1
26,3,3,2,1,2,2,2764,4,33,3,2,2,1,2,3,9,3,2,2,1
32,3,4,2,1,3,2,2273,2,36,2,1,3,1,1,3,6,3,2,1,1
64,2,5,1,1,3,2,2384,1,24,2,2,4,1,1,1,3,1,1,4,1
34,2,2,1,1,1,2,11998,1,30,2,2,1,1,2,4,5,1,2,1,0
31,4,1,1,1,3,2,2406,4,9,4,2,2,1,1,3,2,3,2,3,1
27,3,3,2,1,4,2,1101,4,12,2,2,3,1,2,1,0,3,2,2,1
65,1,1,2,1,2,2,1098,4,18,4,2,4,1,1,3,3,3,2,4,1
47,3,5,1,1,3,2,1213,4,15,2,2,4,3,2,2,3,2,2,3,1
32,2,4,2,1,3,2,1442,1,18,1,1,4,1,1,4,0,1,3,4,0
27,2,2,2,1,3,2,2708,4,15,2,2,2,1,1,2,2,1,2,3,1
23,3,3,2,1,2,2,8471,1,18,3,2,1,5,2,3,6,3,1,2,1
26,3,2,1,1,4,2,907,2,8,2,2,3,1,2,1,9,3,2,2,1
49,3,4,2,2,3,2,1038,1,10,4,2,4,1,2,2,0,3,2,3,1
35,3,3,2,1,3,2,1471,4,15,4,2,4,1,2,4,3,3,3,4,1
31,3,3,1,1,3,2,3161,1,24,1,2,4,1,2,2,9,1,1,2,0
25,2,3,1,3,4,2,866,2,18,2,2,4,1,1,1,3,3,2,2,1
37,2,3,1,1,3,2,1922,2,12,2,2,4,1,1,2,2,3,2,2,0
25,2,2,1,1,2,2,2327,3,15,2,2,2,1,1,1,3,3,2,3,0
44,2,3,1,1,2,2,1881,3,12,2,2,2,1,2,3,3,3,1,2,1
27,3,2,4,1,2,2,951,2,12,2,2,4,2,1,3,2,1,1,4,0
35,2,3,1,1,3,1,1418,4,10,2,2,3,2,1,1,0,3,1,2,1
32,3,4,1,1,3,2,2325,1,24,1,2,2,2,1,3,0,1,2,3,1
21,3,4,1,1,4,2,902,1,12,2,2,4,1,1,2,8,3,1,4,0
32,3,4,1,1,3,2,11760,2,39,3,2,2,2,2,4,6,3,1,3,1
41,3,5,2,1,3,2,2503,2,30,3,2,4,2,1,2,9,2,2,2,1
26,3,4,2,1,3,2,1382,1,24,4,2,4,2,2,1,9,3,2,1,1
32,3,5,2,1,3,2,7238,4,48,3,1,3,5,1,3,3,1,2,3,1
20,2,3,1,1,2,2,2718,2,24,2,2,3,1,2,2,0,3,1,4,0
24,3,3,2,1,2,2,2124,1,18,4,2,4,1,1,1,2,3,1,4,0
25,3,2,1,1,4,2,3213,2,18,2,2,1,3,1,1,3,3,1,3,1
40,2,3,2,1,3,2,1647,1,21,1,1,4,5,1,2,0,1,2,2,0
46,4,5,1,1,3,2,2476,4,21,2,2,4,5,2,1,1,3,2,4,1
25,2,3,1,1,3,2,2210,4,10,2,2,2,1,1,1,2,3,1,2,0
56,3,5,1,1,3,2,618,4,12,4,2,4,1,1,1,3,3,2,4,1
32,3,3,1,1,3,2,2697,4,9,2,1,1,1,1,1,3,3,2,2,1
33,3,2,1,1,3,2,6403,2,24,3,2,1,1,1,3,3,3,2,2,1
32,3,3,1,2,3,2,2848,4,10,2,1,1,2,1,1,1,3,2,2,1
28,3,3,1,2,2,2,2073,4,12,2,2,4,2,1,1,3,3,2,2,1
23,2,3,2,1,3,2,2520,2,27,4,2,4,3,1,2,3,3,2,2,0
24,2,3,1,1,3,2,1768,4,12,2,2,3,1,1,1,2,3,1,2,1
28,2,3,1,1,2,2,745,3,9,2,2,3,1,1,1,3,3,2,2,0
29,3,3,2,1,3,2,2629,2,20,3,2,2,1,2,3,10,1,2,3,1
45,4,4,2,1,3,2,6761,4,6,4,1,1,1,2,4,0,3,2,3,1
36,3,4,1,1,3,2,1542,4,12,2,2,2,1,2,3,9,3,2,4,1
33,3,2,1,1,1,2,2319,3,21,4,2,2,1,1,3,6,3,1,1,0
35,3,4,1,1,2,2,1592,4,12,4,2,3,4,1,2,2,3,2,2,1
30,3,2,2,1,2,2,1055,4,18,4,2,4,1,1,2,0,3,2,1,1
29,4,2,1,1,2,2,2679,4,24,2,2,4,1,2,4,1,3,2,1,1
68,1,1,3,1,3,2,1175,2,16,4,2,2,1,2,3,0,3,3,3,1
50,3,3,1,1,3,2,1236,4,6,2,2,2,3,1,2,1,3,1,4,1
31,3,4,1,2,3,2,4817,1,24,2,2,2,1,2,2,0,3,2,3,0
38,4,4,1,1,3,2,7814,4,24,2,2,3,1,2,3,1,3,2,3,1
32,3,4,1,1,3,2,6078,2,12,2,2,2,1,1,3,0,3,2,2,1
37,3,4,1,1,3,2,10222,4,48,2,2,4,5,2,3,3,2,2,3,1
58,2,5,2,1,2,2,6143,1,48,4,2,4,1,1,4,1,2,3,4,0
74,4,3,1,1,3,2,4526,4,24,4,2,3,1,2,1,9,3,2,2,1
30,3,3,1,1,3,2,2028,2,12,2,2,4,5,1,3,1,3,2,2,1
52,2,3,2,1,2,2,362,4,6,4,2,4,2,1,3,0,3,2,4,1
35,3,5,1,1,4,2,1680,1,12,2,2,3,3,1,1,3,3,2,1,1
28,3,4,1,1,2,2,1376,4,24,2,2,4,3,1,3,3,3,2,1,1
20,3,4,1,1,4,2,674,1,12,2,2,4,2,1,2,3,3,2,1,0
47,3,5,1,1,3,2,3017,3,30,4,2,4,1,1,2,3,3,2,4,1
28,4,3,1,1,2,2,3349,4,36,2,2,4,1,2,3,2,3,2,2,0
74,2,4,1,1,3,2,3448,4,5,2,2,1,1,1,1,9,3,2,4,1
40,2,5,2,3,4,2,1155,2,12,2,2,3,1,1,1,3,1,2,3,1
22,3,1,1,2,2,2,433,4,18,2,2,3,1,1,1,3,3,1,4,0
43,3,5,2,2,3,2,4843,1,12,4,2,3,1,2,2,0,3,1,4,0
34,3,2,1,1,2,2,1842,1,36,2,2,4,1,2,3,0,3,2,4,0
20,3,3,1,1,4,2,2996,1,24,2,2,2,5,1,3,2,3,2,4,0
25,3,3,2,1,2,2,1433,1,15,4,2,4,1,1,2,2,3,1,3,1
22,3,3,1,1,3,2,2462,1,18,2,2,2,1,1,3,2,3,2,2,0
48,2,3,1,1,2,2,4351,2,24,2,2,1,5,2,2,2,3,2,4,1
43,3,4,2,1,3,2,4042,4,24,4,2,3,5,2,2,1,3,2,4,1
23,2,4,2,1,4,2,1936,1,18,2,2,2,5,1,3,3,3,1,4,1
44,4,5,2,1,2,2,6419,1,24,4,1,2,1,2,4,1,3,3,4,1
61,3,4,1,1,2,2,2012,4,12,4,2,4,5,1,3,6,3,2,2,1
22,3,2,1,1,4,2,3832,2,30,2,2,2,1,1,2,2,3,2,1,1
53,3,3,2,1,3,2,4870,1,24,3,1,3,1,1,4,0,3,3,4,0
23,3,3,1,1,4,2,1297,3,12,2,2,3,1,1,1,3,3,1,4,1
26,3,3,1,1,3,2,1925,3,24,2,2,2,1,1,1,2,3,2,2,1
26,3,3,1,1,1,2,1158,2,12,2,2,3,3,2,3,3,3,2,1,1
23,3,3,1,1,3,2,15672,2,48,2,2,2,1,2,3,9,3,2,2,0
31,2,4,2,1,3,2,9857,2,36,3,1,1,2,2,2,9,3,2,3,1
42,3,3,1,1,1,2,2577,1,12,2,2,2,1,1,3,2,3,2,1,1
36,3,5,2,1,3,2,2181,2,30,4,2,4,5,1,1,0,3,2,4,1
30,2,4,2,1,3,2,2028,4,24,4,2,2,1,1,2,2,3,2,2,1
52,3,5,2,1,3,2,2223,4,24,4,2,4,2,1,2,3,1,2,4,1
34,4,1,1,1,3,2,6850,2,15,1,1,1,2,2,2,0,2,2,2,0
40,4,3,1,1,3,2,4623,4,15,2,2,3,2,2,2,6,3,2,2,0
23,3,3,1,1,2,2,1200,1,12,2,2,4,5,2,2,6,1,1,4,1
50,3,5,1,1,3,2,6224,2,48,3,2,4,1,1,4,6,3,3,4,0
51,2,5,1,1,3,2,2507,4,9,2,2,2,3,1,4,0,3,3,4,1
22,3,1,1,1,2,2,741,1,12,2,2,4,2,1,2,4,3,2,3,0
38,3,3,1,1,1,2,3914,4,48,2,2,4,5,1,1,9,1,2,2,0
22,3,3,1,1,2,2,5951,2,48,2,2,2,1,1,1,3,3,2,2,0
43,4,1,1,2,1,2,15857,1,36,2,2,2,1,1,3,10,3,2,3,1
63,4,5,1,1,3,2,13756,4,60,4,2,2,5,2,4,0,1,3,4,1
40,2,3,1,1,3,2,684,1,12,2,1,4,1,1,3,6,3,1,4,0
37,3,4,1,1,2,2,1402,4,12,4,2,3,3,2,3,2,3,1,4,1
36,4,2,1,2,3,2,1940,1,18,1,2,3,1,2,4,3,1,3,4,1
27,2,3,2,1,3,2,4139,4,24,4,2,3,2,2,2,9,3,2,3,1
30,4,4,1,1,3,2,2249,1,18,2,1,4,2,2,3,0,3,2,3,1
42,3,3,1,1,3,2,6288,2,60,2,2,4,1,1,4,6,3,3,4,0
29,4,2,1,2,3,2,9034,2,36,2,2,4,2,2,4,2,3,1,1,0
28,2,3,1,1,3,2,654,1,9,2,2,4,1,1,3,0,3,2,3,0
47,2,5,2,1,3,2,713,1,8,4,2,4,1,1,1,0,3,2,4,1
54,1,1,1,1,2,2,672,4,6,2,2,1,1,2,1,0,3,2,4,1
40,4,5,1,1,1,2,4297,2,18,3,2,4,1,2,4,2,3,2,3,0
40,3,4,1,1,3,2,1559,4,24,1,2,4,1,2,3,9,1,2,4,1
55,1,1,3,1,2,2,1190,1,18,4,1,2,1,1,4,5,3,3,4,0
33,2,2,1,1,4,2,727,1,12,2,2,4,2,2,4,3,3,2,3,0
38,3,2,1,1,2,2,1533,4,24,2,2,4,1,2,3,3,2,2,3,1
24,2,2,2,1,3,2,4746,2,45,4,2,4,1,1,2,3,1,2,2,0
29,3,4,2,3,3,2,1103,2,12,2,2,4,1,1,1,3,3,2,3,1
22,2,3,1,1,4,2,276,2,9,2,2,4,1,1,1,0,3,1,4,1
46,2,3,1,1,2,2,2251,3,12,2,2,1,1,1,3,2,3,2,2,1
55,4,1,1,1,2,2,2578,1,12,2,2,3,1,1,4,2,3,3,4,1
29,3,2,1,1,3,2,2896,2,24,2,2,2,2,1,3,3,3,2,1,1
20,3,3,1,1,2,2,2039,1,18,2,2,1,1,1,1,2,3,1,4,0
33,3,3,1,1,2,2,1042,2,18,2,2,4,5,1,2,0,3,2,2,0
29,2,3,1,1,2,2,1123,4,12,2,2,4,3,1,3,2,3,1,4,0
28,4,3,1,1,2,2,2923,3,21,2,2,1,2,2,3,0,1,2,1,1
36,3,2,1,1,3,2,1721,1,15,2,2,2,1,1,1,0,3,2,3,1
24,3,2,1,1,2,2,874,4,15,2,2,4,5,1,1,4,3,2,1,1
31,2,3,1,1,1,2,1521,2,10,2,2,4,1,1,3,2,3,2,2,1
25,3,5,2,1,3,2,999,4,24,2,2,4,5,1,3,3,3,2,2,1
26,3,2,1,1,2,2,1453,4,18,2,2,3,1,1,1,3,3,2,1,1
39,2,4,2,1,3,1,3398,1,8,4,2,1,1,1,1,0,3,2,4,1
35,3,4,1,1,3,2,1919,2,9,4,2,4,1,2,3,2,3,1,3,1
25,3,4,1,1,3,2,5152,3,24,2,2,4,1,1,3,3,1,2,2,1
38,4,5,3,1,3,2,10623,1,30,4,1,3,1,2,4,1,3,3,4,1
29,3,5,2,1,3,2,2743,4,28,4,2,4,1,1,3,3,3,2,2,1
43,4,5,4,1,3,2,2442,1,27,4,1,4,1,2,3,9,2,2,4,1
28,3,3,2,1,2,2,1382,4,6,4,2,1,1,2,3,3,3,2,1,1
42,2,4,3,1,3,2,1455,4,4,4,1,2,1,1,1,0,3,2,1,1
31,3,3,1,1,2,2,1532,4,15,4,2,4,2,1,3,6,3,2,3,1
46,3,5,2,1,3,2,6331,1,48,4,2,4,1,2,4,1,3,3,4,0
24,3,3,1,1,4,2,3016,3,12,2,2,3,1,1,3,3,3,2,1,1
28,4,2,1,1,2,2,2606,1,21,2,2,4,1,2,2,3,3,1,4,1
35,3,5,1,1,3,2,1979,4,15,2,2,4,5,1,3,3,3,2,2,1
43,2,3,2,1,2,2,1516,4,24,4,2,4,4,1,1,3,3,2,1,1
59,3,4,1,1,3,2,1364,1,9,2,2,3,1,1,1,3,3,2,4,1
21,3,2,1,1,2,2,1126,4,18,2,2,4,5,2,1,3,3,1,2,1
27,3,2,2,1,2,2,1295,2,18,4,2,4,1,1,2,2,3,2,1,1
61,2,5,2,1,1,2,2767,2,21,2,2,4,2,1,3,9,3,1,2,0
24,3,3,1,1,2,2,1275,1,15,2,2,4,5,1,3,4,3,1,2,0
29,2,2,1,1,2,2,1659,1,24,3,2,4,1,2,3,3,3,1,2,0
43,2,2,1,2,4,2,1533,4,18,2,1,4,1,1,2,2,3,2,1,0
34,3,3,1,1,3,2,3496,2,30,1,1,4,4,2,3,2,2,2,2,1
45,3,2,1,3,2,2,2329,2,7,2,2,1,1,1,1,3,3,2,1,1
55,3,2,1,1,1,2,6872,1,24,1,2,2,1,2,2,2,1,2,1,0
24,3,3,1,1,2,2,3190,1,18,2,2,2,1,1,1,3,3,2,2,0
31,3,4,2,1,3,2,5742,4,36,2,2,2,2,2,3,9,3,2,2,1
